en,pl
But,Ale
how?,jak?
Washing,Mycie
drying,suszenie
she asked,zapytała
honey,kochanie
brushing,czesanie
Unfortunately,Niestety
Meanwhile,Tymczasem
"Hi, Mom!","Hej, Mamo!"
I’m sorry,Przepraszam
yet she asked,ale spytała
beautiful hair,piękne włosy
One day,Pewnego dnia
What happened?,Co się stało?
"Hi, honey","Cześć, kochanie"
Thanks to her job,Dzięki jej pracy
"You look different,",Wyglądasz dziwnie
Mom answered,odpowiedziała Mama
Mom replied,odpowiedziała Mama
I’m afraid so,Obawiam się że tak
experience new adventures,przeżywać przygody
her mother came in,do domu weszła mama
required a lot of effort,wymagało wiele pracy
Sylvia was heartbroken,Sylwia była załamana
after coming back from school,po powrocie ze szkoły
A beautiful blonde color,Piękny blond sprawiał
What are you gonna do?,Co zamierzasz zrobić?
discover new places,odwiedzać nowe miejsca
Sylvia panicked,Sylwia wpadła w panikę
"Sylvia looked at her,",Sylwia spojrzała na nią
The company doesn’t do well,W firmie nie jest dobrze
Her mom had had a pretty good salary,Jej mama zarabiała dobrze
Sylvia already knew the answer,Sylwia już znała odpowiedź
had been taking part in summer camps,jeździła na obozy wakacyjne
After each hairdressing appointment,Po każdej wizycie u fryzjera
Sylvia had been receiving pocket money,Sylwia dostawała kieszonkowe
She had been waiting for the camp for the entire year,Cały rok czekała na ten obóz
which grew really fast,które odrastały bardzo szybko
I have just lost my job,Właśnie zwolnili mnie z pracy
She wanted to eat it quickly,Chciała go zjeść jak najszybciej
made Sylvia stand out,że Sylwia wyróżniała się w tłumie
she knew that something was wrong,"już wiedziała, że coś jest nie tak"
everything had taken much time,wszystko zajmowało bardzo dużo czasu
She lived in the suburbs with her parents,Mieszkała na przedmieściach z rodzicami
cover daily expenses and the cost of her camp,pokrycie codziennych wydatków i wyjazdu
she had faced many struggles because of it,były one dla niej codziennym utrapieniem
"she was going to school, and she had a few friends","chodziła do szkoły, miała kilku przyjaciół"
I expected this to happen,Spodziewałam się tego już od jakiegoś czasu
Although the girl loved her hair,"Pomimo tego, że dziewczyna kochała swoje włosy"
Sylvia made a simple bun and started to eat her dinner,Sylwia spięła włosy w kok i zaczęła jeść obiad
she knew that her dad’s salary was not enough,"wiedziała również, że pensja taty nie wystarczy"
She wanted to meet her friends again,Chciała znów spotkać się ze swoimi przyjaciółmi
her hair grew out rapidly within a couple of months,włosy odrastały gwałtownie w ciągu kilku miesięcy
Does this mean that I won’t go to the camp this year?,"Czy to oznacza, że nie pojadę w tym roku na obóz?"
We have to cut our expenses for a while,Przez jakiś czas będziemy musieli ograniczyć wydatki
We will make a living by Dad’s salary until I find a new job,Dopóki nie znajdę nowej pracy będziemy żyć z pensji Taty
Even making a simple hairstyle seemed to last endlessly,Nawet zrobienie najprostszej fryzury zdawało się trwać wieczność
But there was something that made her special—long,"Było jednak coś, co odróżniało ją od reszty znajomych ze szkoły—długie"
because she was meeting her friend to study with her for an English test in an hour,ponieważ za godzinę miała przyjść do niej przyjaciółka na wspólną naukę do testu z angielskiego
