en,pl
niej,her
sip,łyk
already,już
he had to,musi
I have seen,widzę
looking for,szuka
office,pokój
person,osobą
took (a sip of a drink),wziął
still (I am still),nadal
Sometimes,Czasem
floor,piętro
"briefcase,",teczki
Sometimes,Czasem
Nice to meet you,Miło mi
keep,trzymać
be late,spóźnić
keep,trzymać
because,ponieważ
really,naprawdę
He knew,Wiedział
support,wsparcie
in the city,w mieście
several years,kilku lat
Not everyone,Nie każdy
about stress,o stresie
luck,szczęścia
he decided,postanowił
You graduated,Ukończyłeś
decided,postanowił
need,potrzebują
In addition,na dodatek
seeing,obejrzeniu
Take care,Trzymaj się
half hour,pół godziny
but in the end,ale w końcu
Our company,Nasza firma
your talent,twój talent
I came here,Przyszedłem
skills,umiejętności
I’m Tomek,Jestem Tomek
each time,każdym razem
I hope,Mam nadzieję
skills,umiejętności
Despite everything | Regardless,Mimo wszystko
He saw,Wtem zauważył
beat stress,pokonać stres
other person,drugiej osoby
"about his life,","o swoim życiu,"
getting the job,dostanie pracy
took the elevator,pojechał windą
top floor,ostatnie piętro
Karolina said,dodała Karolina
job interview,rozmowę o pracę
interesting people,ciekawych ludzi
really good,naprawdę dobrze
"what to say,","co odpowiedzieć,"
made him uplifted,dodała mu otuchy
I am coming here,Przychodzę tu na
this was the office,to był ten pokój
I don’t work here,Nie pracuję tutaj
"After a few moments,",Po kilku chwilach
put the documents,schował dokumenty
really nice person,bardzo miłą osobą
Tomek replied,odpowiedział Tomek
Tomek didn’t know,Tomek nie wiedział
which begins,która ma odbyć się
Thanks for your support,Dzięki za wsparcie
The conversation with Karolina,Rozmowa z Karoliną
the interview,rozmowa rozpoczyna
to tell him,aby powiedziała mu
at first glance,na pierwszy rzut oka
she had been working in the company,pracuje w firmie już
Karolina said,stwierdziła Karolina
"about university graduation,",o ukończeniu studiów
from the top university,najlepszy uniwersytet
Tomek found out,"Tomek dowiedział się,"
Try to forget,Postaraj się zapomnieć
He didn’t want to be late,Nie chciał się spóźnić
I see you for the first time,widzę cię pierwszy raz
I’m still unemployed,nadal jestem bez pracy
living in Warsaw,mieszkaniu w Warszawie
in a few minutes,się już za kilka minut
What is wrong with me?,Co jest ze mną nie tak?
[she] really liked her job,bardzo lubi swoją pracę
Do you work here?,Czy ty u nas pracujesz?
whether he had any chances of,czy ma jakieś szanse na
Tomek realized,"Tomek zdał sobie sprawę,"
blocks our presenting,blokuje naszą prezentację
I have been to several companies already,Byłem już w kilku firmach
looking for someone like you,szuka ludzi takich jak ty
can see the strenghts,umie dostrzec mocne strony
you are so talented,jesteś bardzo utalentowany
each time they praised me,każdym razem mnie chwalili
He decided to tell her,Postanowił opowiedzieć jej
"he took the last sip of his espresso,","wziął ostatni łyk espresso,"
He even showed her his CV,"Pokazał jej nawet swoje CV,"
he decided to tell her the truth,postanowił powiedzieć prawdę
after seeing Tomek's résumé,po obejrzeniu życiorysu Tomka
"I will keep my fingers crossed,","Będę trzymać za ciebie kciuki,"
Karolina was a really nice person,Karolina była bardzo miłą osobą
Your CV looks really good,Twoje CV wygląda naprawdę dobrze
show your best (make a good impression),pokazać się z jak najlepszej strony
I hope you’ll get the job,"Mam nadzieję że dostaniesz tę pracę,"
skills need a little bit of luck,umiejętności potrzebują trochę szczęścia
because she was meeting interesting people all the time,ponieważ spotyka w niej wielu ciekawych ludzi
